ad_id,product_id,date_post,status,user_id
1,1,2022-05-03,Sold,18
2,2,2022-01-13,Sold,22
3,3,2022-03-05,Sold,36
4,4,2023-12-08,Available,1
5,5,2023-02-20,Sold,5
6,6,2022-06-24,Sold,7
7,7,2022-02-22,Available,9
8,8,2022-05-14,Sold,17
9,9,2023-01-25,Sold,22
10,10,2023-04-27,Sold,1
11,11,2023-11-17,Sold,44
12,12,2023-09-22,Sold,24
13,13,2022-11-06,Available,32
14,14,2023-03-11,Sold,36
15,15,2023-02-24,Sold,25
16,16,2023-01-07,Available,41
17,17,2023-01-12,Available,26
18,18,2022-11-10,Sold,49
19,19,2022-09-16,Available,10
20,20,2023-07-25,Sold,3
21,21,2022-03-15,Available,2
22,22,2023-06-22,Sold,28
23,23,2023-01-04,Available,33
24,24,2023-12-03,Available,28
25,25,2022-09-13,Available,35
26,26,2023-01-11,Sold,31
27,27,2022-09-11,Sold,23
28,28,2022-11-21,Available,27
29,29,2022-12-28,Available,24
30,30,2022-12-03,Available,49
31,31,2023-09-10,Available,42
32,32,2023-07-12,Available,35
33,33,2023-09-04,Available,38
34,34,2023-07-02,Available,30
35,35,2022-06-15,Sold,20
36,36,2023-01-06,Sold,34
37,37,2022-06-17,Available,35
38,38,2023-04-19,Sold,6
39,39,2023-09-08,Available,21
40,40,2023-07-02,Available,13
41,41,2022-01-07,Sold,37
42,42,2022-02-20,Sold,6
43,43,2023-09-18,Available,35
44,44,2022-08-16,Sold,50
45,45,2022-05-23,Sold,22
46,46,2023-04-27,Available,40
47,47,2022-10-20,Sold,22
48,48,2022-12-02,Sold,30
49,49,2023-11-28,Sold,21
50,50,2023-04-25,Sold,22
