bid_id,bid_price,bid_status,bid_date,ad_id,buyer_id
1,113726000,Accepted,2022-07-09,7,3
2,199385000,Rejected,2023-06-28,5,12
3,135404000,Accepted,2023-12-08,13,3
4,214367000,Placed,2023-02-01,24,50
5,217524000,Placed,2022-02-22,14,13
6,105566000,Accepted,2023-10-16,22,36
7,109632000,Accepted,2023-09-26,37,20
8,238169000,Rejected,2023-01-13,49,40
9,213871000,Rejected,2023-09-22,35,32
10,233710000,Placed,2022-12-27,15,41
11,168652000,Placed,2023-06-18,36,15
12,219738000,Accepted,2023-01-07,49,17
13,195293000,Placed,2023-04-13,47,45
14,115656000,Rejected,2023-08-25,28,48
15,226828000,Placed,2022-09-15,39,44
16,111568000,Placed,2022-08-07,17,32
17,192287000,Rejected,2023-07-21,43,17
18,128474000,Rejected,2022-09-12,23,23
19,213560000,Placed,2023-02-18,44,20
20,184530000,Accepted,2023-01-25,41,46
21,191322000,Placed,2022-07-03,43,48
22,137744000,Accepted,2022-12-03,48,50
23,114983000,Rejected,2023-09-10,27,43
24,176334000,Accepted,2023-03-18,34,40
25,131343000,Rejected,2022-10-13,38,26
26,135655000,Accepted,2022-06-15,49,49
27,218265000,Accepted,2023-01-06,43,37
28,235487000,Rejected,2022-06-17,31,45
29,196731000,Placed,2023-02-09,45,36
30,153286000,Accepted,2023-07-02,46,32
31,151667000,Rejected,2022-01-07,39,49
32,160536000,Placed,2023-02-11,49,49
33,134987000,Rejected,2022-08-16,45,33
34,167332000,Rejected,2023-06-13,41,50
35,133057000,Rejected,2022-10-20,50,45
36,132064000,Rejected,2022-06-28,50,47
37,210300000,Accepted,2023-04-25,44,42
38,150454000,Placed,2023-01-27,44,44
39,231196000,Accepted,2022-09-13,44,40
40,177568000,Placed,2023-09-27,49,45
41,114394000,Accepted,2022-10-13,45,42
42,222040000,Rejected,2023-04-21,49,46
43,215139000,Rejected,2023-04-23,50,51
44,172095000,Accepted,2022-03-04,44,50
45,230143000,Rejected,2022-08-18,45,48
46,242059000,Placed,2023-06-08,50,46
47,221479000,Rejected,2023-12-19,47,49
48,201318000,Placed,2022-05-10,49,51
49,193749000,Accepted,2022-10-01,50,51
50,143193000,Placed,2022-05-17,50,50
