product_id,brand,model,body_type,year,price,kota_id
1,Toyota,Toyota Yaris,Hatchback,2016,175000000,3171
2,Toyota,Toyota Yaris,Hatchback,2018,215000000,3175
3,Toyota,Toyota Yaris,Hatchback,2014,162000000,3172
4,Toyota,Toyota Yaris,Hatchback,2020,220000000,6472
5,Toyota,Toyota Yaris,Hatchback,2012,124000000,3578
6,Toyota,Toyota Agya,Hatchback,2019,114000000,3175
7,Toyota,Toyota Agya,Hatchback,2014,97000000,3172
8,Toyota,Toyota Agya,Hatchback,2016,110000000,7371
9,Toyota,Toyota Agya,Hatchback,2022,155500000,5171
10,Toyota,Toyota Agya,Hatchback,2017,115500000,7371
11,Toyota,Toyota Calya,Wagon,2019,130000000,3171
12,Toyota,Toyota Calya,Wagon,2019,137000000,3578
13,Toyota,Toyota Calya,Wagon,2017,115500000,3273
14,Toyota,Toyota Calya,Wagon,2016,104000000,3273
15,Toyota,Toyota Calya,Wagon,2016,107000000,3573
16,Daihatsu,Daihatsu Ayla,Hatchback,2016,83000000,3573
17,Daihatsu,Daihatsu Ayla,Hatchback,2019,120000000,7371
18,Daihatsu,Daihatsu Ayla,Hatchback,2015,96000000,3171
19,Daihatsu,Daihatsu Ayla,Hatchback,2017,115000000,3173
20,Daihatsu,Daihatsu Ayla,Hatchback,2017,113000000,3173
21,Daihatsu,Daihatsu Terios,SUV,2018,190000000,3573
22,Daihatsu,Daihatsu Terios,SUV,2022,223000000,3273
23,Daihatsu,Daihatsu Terios,SUV,2019,189900000,3573
24,Daihatsu,Daihatsu Terios,SUV,2017,166000000,6471
25,Daihatsu,Daihatsu Terios,SUV,2018,201000000,3174
26,Daihatsu,Daihatsu Xenia,MPV,2019,170000000,3173
27,Daihatsu,Daihatsu Xenia,MPV,2022,220500000,3171
28,Daihatsu,Daihatsu Xenia,MPV,2017,135000000,5171
29,Daihatsu,Daihatsu Xenia,MPV,2014,100000000,3578
30,Daihatsu,Daihatsu Xenia,MPV,2018,159000000,6472
31,Honda,Honda Jazz,Hatchback,2018,236000000,3172
32,Honda,Honda Jazz,Hatchback,2019,250000000,5171
33,Honda,Honda Jazz,Hatchback,2018,216000000,1371
34,Honda,Honda Jazz,Hatchback,2015,192000000,3578
35,Honda,Honda Jazz,Hatchback,2013,178000000,3172
36,Honda,Honda CR-V,SUV,2018,415000000,3171
37,Honda,Honda CR-V,SUV,2017,345000000,3573
38,Honda,Honda CR-V,SUV,2009,116000000,6471
39,Honda,Honda CR-V,SUV,2016,269000000,3471
40,Honda,Honda CR-V,SUV,2018,398500000,3172
41,Honda,Honda Civic,Hatchback,2018,350000000,5171
42,Honda,Honda Civic,Sedan,2010,165000000,3171
43,Honda,Honda Civic,Sedan,2013,186000000,3172
44,Honda,Honda Civic,Sedan,2013,179000000,1375
45,Honda,Honda Civic,Hatchback,2019,397500000,3173
46,Suzuki,Suzuki Ertiga,MPV,2015,125000000,3173
47,Suzuki,Suzuki Ertiga,MPV,2018,178000000,6472
48,Suzuki,Suzuki Ertiga,MPV,2016,168000000,5171
49,Suzuki,Suzuki Ertiga,MPV,2012,100000000,3171
50,Suzuki,Suzuki Ertiga,MPV,2018,167000000,3175
